CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1026408,English Elm,Ulmus procera,Ulmus,Ulmaceae,73,1900,1/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.8118498780258, 144.983307289948)",-37.81184988,144.9833073,322479.16,5813144.5
1046737,Pyramid Tree,Lagunaria patersonia,Lagunaria,Malvaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.78875743825512, 144.94769445643712)",-37.78875744,144.9476945,319287.7,5815638.7
1024101,London Plane,Platanus x acerifolia,Platanus,Platanaceae,29,1900,1/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.813057106611815, 144.95715815473213)",-37.81305711,144.9571582,320180.05,5812960.52
1057520,Simon Poplar,Populus simonii,Populus,Salicaceae,32,1900,1/1/00,Semi-Mature,11-20 years,20,NA,Park,30/9/20,"(-37.79142597512865, 144.92277351863726)",-37.79142598,144.9227735,317099.67,5815294.1
1055394,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,73,1900,2/1/00,Mature,6-10 years (<50% canopy),10,NA,Park,30/9/20,"(-37.78012900067908, 144.9521251200192)",-37.780129,144.9521251,319656.9,5816604.72
1063095,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,25,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.82793321169781, 144.90201794141913)",-37.82793321,144.9020179,315362.91,5811202.17
1022112,London Plane,Platanus x acerifolia,Platanus,Platanaceae,40,1900,2/1/00,Mature,11-20 years,20,NA,Street,30/9/20,"(-37.7947141266036, 144.9666049590343)",-37.79471413,144.966605,320967.39,5815014.11
1041328,River Sheoak,Casuarina cunninghamiana,Casuarina,Casuarinaceae,20,1900,2/1/00,Semi-Mature,31-60 years,60,NA,Park,30/9/20,"(-37.788632742771675, 144.9599061201647)",-37.78863274,144.9599061,320362.79,5815676.08
1050817,Monterey Cypress,Hesperocyparis macrocarpa,Hesperocyparis,Cupressaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.77894310223952, 144.95793637761707)",-37.7789431,144.9579364,320165.84,5816747.51
1015093,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,17,1900,2/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.80009110889734, 144.94954286448606)",-37.80009111,144.9495429,319478.07,5814384.62
